Timestamp,CPU Usage (%),Memory Usage (MB),Disk I/O (KB/s)
2023-11-22 22:54:09,11.97,4031,0
0,,,
0,,,
0,,,
2023-11-22 22:54:13,27.78,4327,0
0,,,
0,,,
0,,,
2023-11-22 22:54:16,15.58,4095,0
0,,,
49.43,,,
0,,,
2023-11-22 22:54:20,3.81,4342,0
0,,,
0,,,
0,,,
2023-11-22 22:54:24,2.02,4359,0
0,,,
0,,,
0,,,
2023-11-22 22:54:28,61.38,4480,0
0,,,
0,,,
0,,,
2023-11-22 22:54:31,3.81,4433,0
0,,,
0,,,
0,,,
2023-11-22 22:54:35,9,4422,0
0,,,
0,,,
0,,,
2023-11-22 22:54:39,16.12,4405,0
0,,,
0,,,
0,,,
2023-11-22 22:54:42,14.65,4412,0
0,,,
0,,,
0,,,
2023-11-22 22:54:46,14.9,4414,0
0,,,
0,,,
0,,,
2023-11-22 22:54:50,17.35,4421,0
0,,,
0,,,
0,,,
2023-11-22 22:54:54,2.27,4409,0
0,,,
0,,,
0,,,
2023-11-22 22:54:57,2.75,4432,0
0,,,
0,,,
0,,,
2023-11-22 22:55:01,1.5,4409,0
0,,,
0,,,
0,,,
2023-11-22 22:55:04,2.77,4405,0
0,,,
0,,,
0,,,
2023-11-22 22:55:08,2.01,4397,0
0,,,
0,,,
0,,,
2023-11-22 22:55:12,2.02,4388,0
0,,,
0,,,
0,,,
2023-11-22 22:55:15,1.76,4394,0
0,,,
0,,,
0,,,
2023-11-22 22:55:19,1.52,4401,0
0,,,
0,,,
0,,,
2023-11-22 22:55:23,2.25,4390,0
0,,,
0,,,
0,,,
2023-11-22 22:55:26,1.27,4392,0
0,,,
0,,,
0,,,
2023-11-22 22:55:30,2.02,4385,0
0,,,
0,,,
0,,,
2023-11-22 22:55:33,2.01,4392,0
0,,,
0,,,
0,,,
2023-11-22 22:55:37,1.52,4373,0
0,,,
0,,,
0,,,
2023-11-22 22:55:41,1.75,4384,0
0,,,
0,,,
0,,,
2023-11-22 22:55:44,2.77,4399,0
0,,,
0,,,
0,,,
2023-11-22 22:55:48,2.26,4384,0
0,,,
0,,,
0,,,
