Timestamp,CPU Usage (%),Memory Usage (MB),Disk I/O (KB/s)
2023-11-22 21:07:27,26.45,4288,0
0,,,
0,,,
0,,,
2023-11-22 21:07:31,5.58,4544,0
0,,,
0,,,
0,,,
2023-11-22 21:07:35,9.82,4581,0
0,,,
0,,,
0,,,
2023-11-22 21:07:38,19.54,4589,0
0,,,
0,,,
0,,,
2023-11-22 21:07:42,7.34,4613,0
0,,,
0,,,
0,,,
2023-11-22 21:07:46,59.29,4766,0
0,,,
0,,,
0,,,
2023-11-22 21:07:50,9.18,4804,0
0,,,
0,,,
0,,,
2023-11-22 21:07:53,1.75,4759,0
0,,,
0,,,
0,,,
2023-11-22 21:07:57,2.25,4754,0
0,,,
0,,,
0,,,
2023-11-22 21:08:01,0.51,4736,0
0,,,
0,,,
0,,,
2023-11-22 21:08:04,11.14,4734,0
0,,,
0,,,
0,,,
2023-11-22 21:08:08,2.52,4726,0
0,,,
0,,,
0,,,
2023-11-22 21:08:12,5.53,4726,0
0,,,
0,,,
0,,,
2023-11-22 21:08:15,4.77,4542,0
0,,,
0,,,
0,,,
2023-11-22 21:08:19,2.26,4525,0
0,,,
0,,,
0,,,
2023-11-22 21:08:23,0.51,4526,0
0,,,
0,,,
0,,,
2023-11-22 21:08:26,1.01,4535,0
0,,,
0,,,
0,,,
2023-11-22 21:08:30,0.51,4508,0
0,,,
0,,,
0,,,
2023-11-22 21:08:33,1.5,4511,0
0,,,
0,,,
0,,,
2023-11-22 21:08:37,1.26,4506,0
0,,,
0,,,
0,,,
2023-11-22 21:08:41,6.55,4488,0
0,,,
0,,,
0,,,
2023-11-22 21:08:44,5.32,4505,0
0,,,
0,,,
0,,,
2023-11-22 21:08:48,14.32,4516,0
0,,,
0,,,
0,,,
2023-11-22 21:08:52,1,4497,0
0,,,
0,,,
0,,,
2023-11-22 21:08:55,1.01,4507,0
0,,,
0,,,
0,,,
2023-11-22 21:08:59,1.25,4515,0
0,,,
0,,,
0,,,
2023-11-22 21:09:03,1.01,4498,0
0,,,
0,,,
0,,,
2023-11-22 21:09:06,2.01,4506,0
0,,,
0,,,
0,,,
2023-11-22 21:09:10,2.53,4496,0
0,,,
0,,,
0,,,
2023-11-22 21:09:13,0.76,4509,0
0,,,
0,,,
0,,,
2023-11-22 21:09:17,1.26,4513,0
0,,,
0,,,
0,,,
2023-11-22 21:09:21,1.26,4493,0
0,,,
0,,,
0,,,
2023-11-22 21:09:24,1.26,4476,0
0,,,
0,,,
0,,,
2023-11-22 21:09:28,1.75,4491,0
0,,,
0,,,
0,,,
2023-11-22 21:09:32,0.51,4482,0
0,,,
0,,,
0,,,
2023-11-22 21:09:35,0.51,4493,0
0,,,
0,,,
0,,,
2023-11-22 21:09:39,0.76,4416,0
0,,,
0,,,
0,,,
2023-11-22 21:09:43,1.01,4424,0
0,,,
0,,,
0,,,
2023-11-22 21:09:46,2.27,4410,0
0,,,
0,,,
0,,,
2023-11-22 21:09:50,3.53,4425,0
0,,,
0,,,
0,,,
2023-11-22 21:09:54,1.51,4411,0
0,,,
0,,,
0,,,
2023-11-22 21:09:57,0.76,4432,0
0,,,
0,,,
0,,,
2023-11-22 21:10:01,1.77,4440,0
0,,,
0,,,
0,,,
2023-11-22 21:10:05,0.76,4441,0
0,,,
0,,,
0,,,
2023-11-22 21:10:08,1.51,4424,0
0,,,
0,,,
0,,,
2023-11-22 21:10:12,3.77,4435,0
0,,,
0,,,
0,,,
2023-11-22 21:10:15,1.01,4436,0
0,,,
0,,,
0,,,
2023-11-22 21:10:19,3.01,4439,0
0,,,
0,,,
0,,,
2023-11-22 21:10:23,1.51,4421,0
0,,,
0,,,
0,,,
2023-11-22 21:10:26,0.76,4433,0
0,,,
0,,,
0,,,
2023-11-22 21:10:30,1.01,4444,0
0,,,
44.68,,,
0,,,
2023-11-22 21:10:34,1.75,4422,0
0,,,
0,,,
0,,,
2023-11-22 21:10:37,1.26,4419,0
0,,,
0,,,
0,,,
2023-11-22 21:10:41,2,4429,0
0,,,
0,,,
0,,,
2023-11-22 21:10:45,1.75,4416,0
0,,,
0,,,
0,,,
2023-11-22 21:10:48,0.51,4411,0
0,,,
0,,,
0,,,
2023-11-22 21:10:52,0.5,4420,0
0,,,
0,,,
0,,,
2023-11-22 21:10:56,1.5,4425,0
0,,,
0,,,
0,,,
2023-11-22 21:10:59,2.24,4449,0
0,,,
0,,,
0,,,
2023-11-22 21:11:03,2.02,4456,0
0,,,
0,,,
0,,,
2023-11-22 21:11:06,2.51,4447,0
0,,,
0,,,
0,,,
2023-11-22 21:11:10,2.26,4459,0
0,,,
0,,,
0,,,
2023-11-22 21:11:14,1.76,4416,0
0,,,
0,,,
0,,,
2023-11-22 21:11:17,0.76,4429,0
0,,,
0,,,
0,,,
2023-11-22 21:11:21,1.75,4429,0
0,,,
0,,,
0,,,
2023-11-22 21:11:25,1.26,4412,0
0,,,
0,,,
0,,,
2023-11-22 21:11:28,1.26,4407,0
0,,,
0,,,
0,,,
2023-11-22 21:11:32,1.5,4422,0
0,,,
0,,,
0,,,
2023-11-22 21:11:36,2.26,4409,0
0,,,
0,,,
0,,,
2023-11-22 21:11:39,2.03,4415,0
0,,,
0,,,
0,,,
2023-11-22 21:11:43,1.26,4416,0
0,,,
0,,,
0,,,
2023-11-22 21:11:46,1.76,4403,0
0,,,
0,,,
0,,,
2023-11-22 21:11:50,2.26,4415,0
0,,,
0,,,
0,,,
2023-11-22 21:11:54,2.03,4427,0
0,,,
0,,,
0,,,
2023-11-22 21:11:57,1,4411,0
0,,,
0,,,
0,,,
2023-11-22 21:12:01,1.5,4207,0
0,,,
0,,,
0,,,
AVERAGE,3.69302631578947,4487.63157894737,0
