Timestamp,CPU Usage (%),Memory Usage (MB),Disk I/O (KB/s)
2023-11-22 20:43:02,26.01,4310,0.00
0.00
0.00
0.00
2023-11-22 20:43:06,2.76,4548,0.00
0.00
0.00
0.00
2023-11-22 20:43:09,3.74,4594,0.00
0.00
0.00
0.00
2023-11-22 20:43:13,3.52,4600,0.00
0.00
0.00
0.00
2023-11-22 20:43:17,1.75,4606,0.00
0.00
0.00
0.00
2023-11-22 20:43:20,1,4615,0.00
0.00
0.00
0.00
2023-11-22 20:43:24,1.76,4610,0.00
0.00
0.00
0.00
2023-11-22 20:43:28,1.26,4610,0.00
0.00
0.00
0.00
2023-11-22 20:43:31,1.5,4596,0.00
0.00
0.00
0.00
2023-11-22 20:43:35,2.01,4585,0.00
0.00
0.00
0.00
2023-11-22 20:43:39,21.89,4593,0.00
0.00
0.00
0.00
2023-11-22 20:43:42,0.51,4581,0.00
0.00
0.00
0.00
2023-11-22 20:43:46,0.51,4595,0.00
0.00
0.00
0.00
2023-11-22 20:43:50,28.72,4573,0.00
0.00
0.00
0.00
2023-11-22 20:43:53,20,4580,0.00
0.00
0.00
0.00
2023-11-22 20:43:57,1.26,4585,0.00
0.00
0.00
0.00
2023-11-22 20:44:01,1.5,4575,0.00
0.00
0.00
0.00
2023-11-22 20:44:04,1.29,4567,0.00
0.00
0.00
0.00
2023-11-22 20:44:08,2.3,4576,0.00
0.00
0.00
0.00
2023-11-22 20:44:12,0.78,4574,0.00
0.00
0.00
0.00
2023-11-22 20:44:15,2.03,4578,0.00
0.00
0.00
0.00
2023-11-22 20:44:19,5.58,4537,0.00
0.00
0.00
0.00
2023-11-22 20:44:23,1.51,4524,0.00
0.00
0.00
0.00
2023-11-22 20:44:26,0.75,4535,0.00
0.00
0.00
0.00
2023-11-22 20:44:30,2.27,4549,0.00
0.00
0.00
0.00
2023-11-22 20:44:34,1.76,4524,0.00
0.00
0.00
0.00
2023-11-22 20:44:37,2.01,4541,0.00
0.00
0.00
0.00
2023-11-22 20:44:41,2.24,4556,0.00
0.00
0.00
0.00
2023-11-22 20:44:45,3.01,4542,0.00
0.00
0.00
0.00
2023-11-22 20:44:48,1.26,4533,0.00
0.00
0.00
0.00
2023-11-22 20:44:52,1.01,4563,0.00
0.00
0.00
0.00
2023-11-22 20:44:56,4.3,4567,0.00
0.00
0.00
0.00
2023-11-22 20:44:59,1.76,4566,0.00
0.00
0.00
0.00
2023-11-22 20:45:03,2.76,4575,0.00
0.00
0.00
0.00
2023-11-22 20:45:06,0.25,4576,0.00
0.00
0.00
0.00
2023-11-22 20:45:10,1.01,4521,0.00
0.00
0.00
0.00
2023-11-22 20:45:14,1.76,4482,0.00
0.00
0.00
0.00
2023-11-22 20:45:17,1.26,4469,0.00
0.00
0.00
0.00
